run,afl-clang-fast,afl-gcc,angora,honggfuzz,intriguer,mopt,qsym,symcc
run1,21838,42516,timeout,12527,timeout,919,timeout,33439
run2,16013,51185,15867,5652,7750,9970,6548,73572
run3,24829,5567,32287,884,8573,5327,6067,61471
run4,849,5348,timeout,917,26018,4638,18594,1673
run5,23819,timeout,25213,8341,19529,3953,timeout,41699
run6,3142,12152,1839,14593,52681,22486,4636,1899
run7,14751,37790,43139,707,78328,17775,30596,timeout
run8,21591,70670,37201,12352,23405,218,5832,42986
run9,75869,46880,50615,13660,81278,51812,24424,41994
run10,26432,7819,22800,2847,9331,2335,5297,27926
