run,afl-clang-fast,afl-gcc,angora,honggfuzz,intriguer,mopt,qsym,symcc
run1,147,323,123,8,230,44,53,60
run2,270,466,120,16,180,20,159,81
run3,107,69,152,30,207,59,144,76
run4,170,67,67,11,204,155,68,69
run5,307,171,80,67,74,54,193,62
run6,184,169,233,16,189,95,150,54
run7,48,98,117,7,201,108,235,107
run8,245,77,116,18,203,274,273,105
run9,256,271,180,4,86,62,104,63
run10,217,334,81,10,230,183,80,112
