run,afl-clang-fast,afl-gcc,angora,honggfuzz,intriguer,mopt,qsym,symcc
run1,3345,16847,1846,800,5337,1315,1842,783
run2,17207,5889,339,4067,19593,856,1885,769
run3,7094,1031,17447,593,16959,563,3652,547
run4,4472,16214,10132,890,31555,495,2043,366
run5,34556,2613,1582,866,26912,862,12788,908
run6,32321,5436,15723,549,629,827,1695,783
run7,5188,10191,6083,479,timeout,750,1733,1086
run8,3404,59849,22915,20352,2371,716,1693,538
run9,14151,7021,21074,92,55928,226,2976,682
run10,260,2279,1668,1434,5694,698,4123,488
