run,afl-clang-fast,afl-gcc,angora,honggfuzz,intriguer,mopt,qsym,symcc
run1,timeout,3713,2628,15955,11751,2217,4704,638
run2,timeout,845,2775,9175,10847,1070,6041,1206
run3,timeout,3474,2864,5103,7239,2240,5089,1797
run4,timeout,3769,1510,36967,4117,1683,1825,2002
run5,timeout,2350,2555,9901,10455,740,17626,615
run6,timeout,648,3457,35014,9566,1978,6680,634
run7,timeout,3439,7514,6478,1591,1627,2435,729
run8,timeout,3058,3314,6597,1240,1660,11925,621
run9,timeout,1750,11233,7361,11851,1274,10655,953
run10,timeout,3597,51693,15399,4190,846,6680,1424
