run,afl-clang-fast,afl-gcc,angora,honggfuzz,intriguer,mopt,qsym,symcc
run1,1245,5962,2715,timeout,1622,1046,1770,612
run2,54692,4648,1180,timeout,1621,514,1881,680
run3,17989,1923,1278,timeout,1188,657,2765,268
run4,30791,3059,8741,timeout,1921,858,9578,1100
run5,4473,1471,916,timeout,2021,969,1924,1374
run6,340,1455,1063,timeout,2400,4683,6181,1447
run7,3767,1533,687,timeout,252,2483,3391,389
run8,3197,3267,686,timeout,4813,1554,2719,1959
run9,10918,6605,619,timeout,2362,987,8112,547
run10,1633,7950,7575,timeout,2822,690,6759,6071
