run,afl-clang-fast,afl-gcc,angora,honggfuzz,intriguer,mopt,qsym,symcc
run1,timeout,timeout,timeout,timeout,timeout,timeout,timeout,10730
run2,timeout,timeout,timeout,timeout,timeout,timeout,timeout,13496
run3,timeout,timeout,timeout,timeout,57491,timeout,6440,timeout
run4,timeout,timeout,timeout,timeout,timeout,46016,timeout,1782
run5,timeout,timeout,timeout,timeout,timeout,33453,timeout,timeout
run6,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
run7,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
run8,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
run9,timeout,timeout,timeout,timeout,timeout,66062,28594,10782
run10,timeout,timeout,timeout,timeout,38889,timeout,timeout,23821
